品牌名称,生成时间,人群包名称,逻辑单元数
未命名,2019-02-18,tets11,5
未命名,2019-02-18,tets1122,5
雅培,2019-02-18,2-17【辅】旗店深A行为,5
雅培,2019-02-18,2-17【辅】旗舰店A行为,5
雅培,2019-02-18,2-17【辅】旗舰店I行为,5
雅培,2019-02-18,2-17【辅】超级用户,5
雅培,2019-02-18,2-17【辅】活跃ZDY,5
雅培,2019-02-18,2-4【辅】旗店深A行为,5
雅培,2019-02-18,2-4【辅】旗舰店A行为,5
雅培,2019-02-18,2-4【辅】旗舰店I行为,5
雅培,2019-02-18,2-4【辅】旗店深A行为,5
雅培,2019-02-18,2-4【辅】旗舰店A行为,5
雅培,2019-02-18,2-4【辅】旗舰店I行为,5
雅培,2019-02-18,2-4【辅】超级用户,5
雅培,2019-02-18,2-4【辅】活跃ZDY,5
雅培,2019-02-18,1-21【辅】旗店深A行为,5
雅培,2019-02-18,1-21【辅】旗店深A行为,5
雅培,2019-02-18,1-21【辅】旗舰店A行为,5
雅培,2019-02-18,1-21【辅】旗舰店I行为,5
雅培,2019-02-18,1-21【辅】超级用户,5
雅培,2019-02-18,1-21【辅】活跃ZDY,5
雅培,2019-02-18,2-17v3】非店之A,5
雅培,2019-02-18,2-17v4】旗店深A,5
雅培,2019-02-18,2-17v5】旗店浅A,5
雅培,2019-02-18,2-17v8】非店之I,5
雅培,2019-02-18,2-17v10】超I深I,5
雅培,2019-02-18,2-17v11】超I浅I,5
雅培,2019-02-18,2-17v13】非超I深I,5
雅培,2019-02-18,2-17v14】非超I浅I,5
雅培,2019-02-18,2-17v17】旗店PL活跃,5
雅培,2019-02-18,2-17v18】旗店PL非活,5
雅培,2019-02-18,2-17v20】非店PL活跃,5
雅培,2019-02-18,2-17v21】非店PL非活,5
雅培,2019-02-18,2-4v3】非店之A,5
雅培,2019-02-18,2-4v4】旗店深A,5
雅培,2019-02-18,2-4v5】旗店浅A,5
雅培,2019-02-18,2-4v8】非店之I,5
雅培,2019-02-18,2-4v10】超I深I,5
雅培,2019-02-18,2-4v11】超I浅I,5
雅培,2019-02-18,2-4v13】非超I深I,5
